CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aden;Semi-Desert Mountains;;;;;;;;;;;;;x
agra;Forest;;;;;;;;;;;;;x
alexandria;Floodplain Farmlands;;;;;;;;;;;;;x
algiers;Grassland;;;;;;;;;;;;;x
amsterdam;Farmlands;;;;;;;;;;;;;x
andorra;Montane Grassland;;;;;;;;;;;;;x
ankara;Grassland Hills;;;;;;;;;;;;;x
annecy;Montane Grassland;;;;;;;;;;;;;x
antwerp;Farmlands;;;;;;;;;;;;;x
arctic;Tundra;;;;;;;;;;;;;x
asuncion;Urban;;;;;;;;;;;;;x
athens;Grassland;;;;;;;;;;;;;x
atlanta;Montane Grassland;;;;;;;;;;;;;x
auckland;Forest;;;;;;;;;;;;;x
austin;Grassland;;;;;;;;;;;;;x
baghdad;Grassland;;;;;;;;;;;;;x
baku;Montane Grassland;;;;;;;;;;;;;x
bangkok;Floodplain Farmlands;;;;;;;;;;;;;x
barcelona;Grassland;;;;;;;;;;;;;x
batavia;Grassland;;;;;;;;;;;;;x
belfast;Farmlands;;;;;;;;;;;;;x
belgrade;Grassland Hills;;;;;;;;;;;;;x
berlin;Farmlands;;;;;;;;;;;;;x
bern;Montane Grassland;;;;;;;;;;;;;x
bilbao;Grassland Hills;;;;;;;;;;;;;x
birmingham;Farmlands;;;;;;;;;;;;;x
bissau;Grassland;;;;;;;;;;;;;x
bogota;Grassland;;;;;;;;;;;;;x
bombay;Floodplain Farmlands;;;;;;;;;;;;;x
bordeaux;Farmlands;;;;;;;;;;;;;x
boreal;Taiga;;;;;;;;;;;;;x
boreal_for;Boreal Forest;Forêt Boréale;Borealer Nadelwald;;;;;;;;;;;x
boreal_for;Boreal Forest Hills;Boréale collines de Forêt;Borealer Nadelwald Hügel;;;;;;;;;;;x
boreal_for;Boreal Forest Mountains;Montagnes Forêt Boréale;Borealer Nadelwald Berge;;;;;;;;;;;x
boreal_mar;Boreal Marsh;Boréale Marais;Borealen Sumpf;;;;;;;;;;;x
boston;Farmlands;;;;;;;;;;;;;x
bratislava;Grassland Hills;;;;;;;;;;;;;x
braunschwe;Farmlands;;;;;;;;;;;;;x
breslau;Grassland;;;;;;;;;;;;;x
brest;Grassland;;;;;;;;;;;;;x
bristol;Farmlands;;;;;;;;;;;;;x
brussels;Grassland;;;;;;;;;;;;;x
buenosaire;Farmlands;;;;;;;;;;;;;x
bukarest;Grassland;;;;;;;;;;;;;x
caen;Grassland;;;;;;;;;;;;;x
cairo;Floodplain Farmlands;;;;;;;;;;;;;x
calcutta;Floodplain Farmlands;;;;;;;;;;;;;x
canton;Floodplain Farmlands;;;;;;;;;;;;;x
capecoast;Grassland;;;;;;;;;;;;;x
capetown;Grassland Hills;;;;;;;;;;;;;x
caracas;Farmlands;;;;;;;;;;;;;x
cardiff;Farmlands;;;;;;;;;;;;;x
catania;Grassland Hills;;;;;;;;;;;;;x
cetinje;Urban;;;;;;;;;;;;;x
ceuta;Urban;;;;;;;;;;;;;x
chemnitz;Farmlands;;;;;;;;;;;;;x
chicago;Farmlands;;;;;;;;;;;;;x
chisinau;Urban;;;;;;;;;;;;;x
cleveland;Forest;;;;;;;;;;;;;x
cluj;Urban;;;;;;;;;;;;;x
coastal;Coastal;Côtière;Küste;;;;;;;;;;;x
coastal_de;Coastal Desert;Désert côtier;Küstenwüste;;;;;;;;;;;x
coastal_se;Coastal Sea;Mer littorale;Küstensee;;;;;;;;;;;x
cold_deser;Cold Desert;Désert Froid;Kalten Wüste;;;;;;;;;;;x
cold_deser;Cold Desert Hills;Froide collines Désertiques;Kälte Wüstenhügeln;;;;;;;;;;;x
cold_deser;Cold Desert Mountains;Montagnes Désertiques Froides;Kälte Wüstenberge;;;;;;;;;;;x
cologne;Grassland;;;;;;;;;;;;;x
colombo;Grassland;;;;;;;;;;;;;x
conifer_fo;Conifer Forest;Forêt de Conifères;Nadelwald;;;;;;;;;;;x
conifer_fo;Conifer Forest Hills;Conifères Collines de Forêt;Nadelwald Hügel;;;;;;;;;;;x
conifer_fo;Conifer Forest Mountains;Conifères Montagnes Forêt;Nadelwald Gebirge;;;;;;;;;;;x
copenhagen;Grassland;;;;;;;;;;;;;x
coral_isla;Atoll;;;;;;;;;;;;;x
damascus;Semidesert;;;;;;;;;;;;;x
danzig;Farmlands;;;;;;;;;;;;;x
dc;Farmlands;;;;;;;;;;;;;x
deciduous_;Deciduous Forest;Forêt Décidue;Laubwald;;;;;;;;;;;x
deciduous_;Deciduous Forest Hills;Collines Forêts Décidue;Laubwald Hügel;;;;;;;;;;;x
deciduous_;Deciduous Forest Mountains;Montagnes Forêt décidue;Laubwald Berge;;;;;;;;;;;x
delhi;Forest;;;;;;;;;;;;;x
