CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
absolute_monarchy_gov;Absolute monarchy;;;;;;;;;;;;;x
anarcho_liberal_gov;Radical government;;;;;;;;;;;;;x
anarcho_liberal_election_win;Radicals won election;;;;;;;;;;;;;x
colonial_company_gov;Colonial government;;;;;;;;;;;;;x
communist_gov;Communist government;;;;;;;;;;;;;x
communist_election_win;Communists won election;;;;;;;;;;;;;x
constitutional_monarchy_gov;Parliamentary monarchy;;;;;;;;;;;;;x
democracy_gov;Democratic government;;;;;;;;;;;;;x
dominion_gov;Dominion;;;;;;;;;;;;;x
fascist_gov;Fascist government;;;;;;;;;;;;;x
fascist_election_win;Fascists won election;;;;;;;;;;;;;x
khanate_gov;Khanate;;;;;;;;;;;;;x
liberal_election_win;Liberals won election;;;;;;;;;;;;;x
monarchy_gov;Monarchy;;;;;;;;;;;;;x
presidential_dictatorship_gov;Presidential dictatorship;;;;;;;;;;;;;x
puppet_gov;Puppet State;;;;;;;;;;;;;x
reactionary_election_win;Reactionaries won election;;;;;;;;;;;;;x
semi_constitutional_monarchy_gov;Constitutional monarchy;;;;;;;;;;;;;x
social_liberal_election_win;Social Liberals won election;;;;;;;;;;;;;x
socialist_election_win;Socialists won election;;;;;;;;;;;;;x
theocratic_government;Theocratic government;;;;;;;;;;;;;x
tory_election_win;Conservatives won election;;;;;;;;;;;;;x
