CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
EVTDESC500000;The Organic Statute of the Kingdom of Poland was a Statute which replaced the Constitution of 1815 in the aftermath of the failed November Uprising in the Russian Partition. The Statute was pronounced in occupied Warsaw on March 1832 by Marshal Ivan Fyodorovich Paskevich, who named himself a namestnik. The Statute, signed by Emperor Nicholas I of Russia, replaced the personal union between the Kingdom of Poland and the Russian Empire with the ‘eternal incorporation’ of Poland into Russia. The Parliament of the Kingdom was abolished, and its army merged with the Russian Army. \n §RNOTE: Congress Poland is an extremely hard to play substate. You won’t get any soldiers and when the Polish Uprising begins you will probably lose the game.§W;;;;;;;;;;;;;x
EVTNAME500000;The Organic Statute of Poland;;;;;;;;;;;;;x
EVTOPTA500000;When will the Poles be free?;;;;;;;;;;;;;x
EVTDESC500001;After the latest war our subjects in Poland and other parts of our empire began to grow restless. The uprising began as a spontaneous protest by young Poles against conscription into the $COUNTRY_ADJ$ Army. It was soon joined by high-ranking Polish-Lithuanian officers and various politicians. In Warsaw alone 116 demonstrations were held in $YEAR$. Much of these manifestations in ended in clashes with the $COUNTRY_ADJ$ Army. In spite of $COUNTRY_ADJ$ police interference, a symbolic meeting of hymn-singing Poles and Lithuanians took place on the bridge across an important River. The crowds sang ‘God protect Poland’ in Lithuanian and Belarusian. Earlier in $YEAR$ the $COUNTRY_ADJ$ government introduced a state of emergency in Kovno and Grodno as well as several other Polish-majority provinces. Public gatherings were banned and some public leaders were declared outlaws. The situation threatens to break down in anarchy.;;;;;;;;;;;;;x
EVTNAME500001;The Polish Uprising of $YEAR$;;;;;;;;;;;;;x
EVTOPTA500001;Suppress them immediately.;;;;;;;;;;;;;x
EVTOPTC500001;Let them be free.;;;;;;;;;;;;;x
EVTOPTD500001;Onwards to Poland!;;;;;;;;;;;;;x
EVTDESC500002;Poles in $FROMCOUNTRY$, together with some other nationalities in the territory of the former Polish-Lithuanian Commonwealth, started a general uprising against the $FROMCOUNTRY_ADJ$ government. There is an outcry from some sectors of our population to support Polish freedom, but there wouldn’t be any problems if we stayed neutral on this matter either.;;;;;;;;;;;;;x
EVTNAME500002;The Polish Uprising;;;;;;;;;;;;;x
EVTOPTA500002;Help the Poles in any way we can.;;;;;;;;;;;;;x
EVTOPTB500002;Condemn $FROMCOUNTRY$’s action.;;;;;;;;;;;;;x
EVTOPTC500002;Stay neutral on the matter.;;;;;;;;;;;;;x
EVTOPTD500002;Pronounce our support to $FROMCOUNTRY$.;;;;;;;;;;;;;x
EVTDESC500003;Traugutt, the insurrection general, and four other members of the Polish Government were apprehended by $COUNTRY_ADJ$ troops and executed at the Warsaw citadel. In the course of the war several battles and skirmishes were fought and some twenty-five thousand Poles were killed. The $COUNTRY_ADJ$ $MONARCHTITLE$ passed laws and edicts to make the land an integral part of $COUNTRY$’s territory and all that remains now is to decide the fate of the rebels.;;;;;;;;;;;;;x
EVTNAME500003;The Polish Rebellion is Crushed;;;;;;;;;;;;;x
EVTOPTA500003;There will be harsh reprisals.;;;;;;;;;;;;;x
EVTOPTB500003;Be lenient with them.;;;;;;;;;;;;;x
EVTDESC500004;For too long the lands of Poland have been partitioned and divided among imperialistic foreigners. No more! Today, we shake off the remnants of foreign rule from our country, paving the way for the future of Poland.;;;;;;;;;;;;;x
EVTNAME500004;A Polish State;;;;;;;;;;;;;x
EVTOPTA500004;We will unite!;;;;;;;;;;;;;x
EVTOPTB500004;We enjoy independence too much.;;;;;;;;;;;;;x
EVTDESC500005;As the Polish State we need to protect all our citizens in the west. Polish people lived in Poznan, Silesia, Pomerania and Luzica for centuries and these parts are a rightful and core part of our country.;;;;;;;;;;;;;x
EVTNAME500005;United Poland;;;;;;;;;;;;;x
EVTOPTA500005;For a united Poland!;;;;;;;;;;;;;x
