CODE;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
aeroplane_factory;Aeroplane Factory;;;;;;;;;;;;;x
aeroplane_factory_desc;Most aircraft in the era are constructed from wood, using metal sockets to joint members, and making use of piano wire or stranded steel cable for bracing. Wooden construction typically involved several different types of timber, with careful use of different woods according to their mechanical properties and they were typically covered in a variety of fabrics including rubberized cotton and varnished silk. The first engine design to be widely used for powering aircraft was the Antoinette water-cooled V-8 engine, believed to be the very first V-form eight-cylinder internal combustion engine ever placed in production.;;;;;;;;;;;;;x
ammunition_factory;Ammunition Factory;;;;;;;;;;;;;x
ammunition_factory_desc;Swaging, rather than casting, was the preferred manufacturing technique during the 19th century for ammunition. Swaged bullets are bullets manufactured by swaging room temperature metals into a die to form it into the shape of a bullet. The other common manufacturing method is casting, which uses molten metals poured into a mould. Disadvantages became evident as loadings shifted to smokeless powder in the late 19th century and manufacturers of high-velocity military ammunition modified their bullet swaging process to apply a thin sheet of stronger metal over the soft lead bullet.;;;;;;;;;;;;;x
artillery_factory;Artillery Factory;;;;;;;;;;;;;x
artillery_factory_desc;The first stage of artillery production is to create an exact model of the gun, mortar, or howitzer. This is built up upon a tapered wooden spindle, from eight to 12 feet in length and about two inches less than the model in diameter. The spindle is then set upon a wooden turning frame and covered with grease or soap to aid in its eventual removal from the mould. A coat of a lye mixture is spread over the interior surface to prevent the molten metal of the casting adhering to the walls of the mould. The mould is then taken to the casting pit to be annealed.;;;;;;;;;;;;;x
automobile_factory;Automobile Factory;;;;;;;;;;;;;x
automobile_factory_desc;Early automobiles, known as ‘Horseless Carriages’, were simple vehicles with two or four stroke combustion engines capable of 2/3 horsepower (0.50 kW) at 250 rpm. Featuring an open crankcase and the use of a pushrod-operated poppet valve for exhaust, a large horizontal flywheel that stabilized the single-cylinder engine’s power output and an evaporative carburettor controlled by a sleeve valve to regulate power and engine speed. They were produced in small workshops but evolved fast, with the simple open metal frame soon giving way to chassis with glass windows.;;;;;;;;;;;;;x
barrel_factory;Tank Factory;Usine de chars;Geschützrohrfabrik;;;;;;;;;;;x
barrel_factory_desc;The tank is the 20th century realization of an ancient concept: that of providing troops with mobile protection and firepower and it was born of the need to break the domination of trenches, barbed wire, and machine guns over the battlefields. The internal combustion engine, armour plate, and the continuous track were key innovations leading to the invention of the modern tank. One of the earliest used designs was a rhomboid vehicle with a low canter of gravity and long track length, able to negotiate broken ground and cross trenches while the main armament was carried in sponsons on the hull sides.;;;;;;;;;;;;;x
canned_food_factory;Cannery;;;;;;;;;;;;;x
